epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3473,1.09046,3.93408,1.28589,0.57881,0.40424,0.43711,0.31945,0.90567,1.95832,1.17749,0.0689308,0.00163522,0.00163522
2,82.0311,0.83314,1.92148,1.13468,0.66853,0.62223,0.65672,0.52589,0.71694,1.43313,1.06976,0.036934,0.00297173,0.00297173
3,107.674,0.67494,1.32206,1.01283,0.81871,0.64821,0.75803,0.63016,0.63568,1.08419,0.98613,0.00460387,0.00397494,0.00397494
4,133.104,0.62681,1.05795,0.97518,0.89999,0.70554,0.80398,0.67219,0.59144,0.92142,0.94227,0.00350015,0.00350015,0.00350015
5,158.606,0.60726,0.92662,0.96424,0.92841,0.73035,0.816,0.69856,0.53939,0.8439,0.92321,0.0030002,0.0030002,0.0030002
6,184.289,0.56619,0.83434,0.93064,0.92508,0.77088,0.84137,0.72407,0.54794,0.75017,0.94227,0.00250025,0.00250025,0.00250025
7,209.768,0.54319,0.7616,0.92277,0.93833,0.80461,0.8547,0.73641,0.52833,0.69907,0.91345,0.0020003,0.0020003,0.0020003
8,235.226,0.51292,0.70735,0.90509,0.94028,0.82118,0.86768,0.76334,0.48096,0.67436,0.88543,0.00150035,0.00150035,0.00150035
9,260.939,0.51267,0.70538,0.8945,0.95848,0.78854,0.86646,0.76102,0.50626,0.68222,0.89999,0.0010004,0.0010004,0.0010004
10,286.522,0.50066,0.68054,0.89427,0.93904,0.81295,0.87668,0.77703,0.47484,0.61225,0.89034,0.00050045,0.00050045,0.00050045
